,Author,Book,Filename,Optional years exist,Translated,Year,Years (optional),Scraped Year,Scraped Author
9956,Shoghi Effendi,High Endeavours: Messages to Alaska,b'19276-0.txt',0,0,1939,1939,,1941
9957,Frank V. Martinek,Don Winslow of the Navy,b'45613-0.txt',0,0,1940,1940,,
9958,Morris J. MacGregor Jr.,"Integration of the Armed Forces, 1940-1965",b'20587-8.txt',0,0,1940,1940,,
9959,Franklin Delano Roosevelt,Day of Infamy Speech,b'21805.txt',0,0,1941,1941,,1947
9960,Kristina Roy,The Three Comrades,b'12143.txt',0,1,1941,1941,,1900
9961,Shoghi Effendi,The Promised Day Is Come,b'19282-0.txt',0,0,1941,,1941,
9962,Murray Leinster,The Runaway Skyscraper,b'17355.txt',0,0,1942,,,1959
9963,Murray Leinster,This World Is Taboo,b'18172-8.txt',0,0,1942,,,1959
9964,Maisie Ward,Gilbert Keith Chesterton,b'18707-8.txt',0,0,1943,1943,,1967
9965,Annie Fellows Johnston,The Little Colonel's Chum: Mary Ware,b'15867-8.txt',0,0,1944,1944,,1916
9966,Shoghi Effendi,Unfolding Destiny,b'19297-0.txt',0,0,1944,1944,,1941
9967,Strategic Services,Simple Sabotage Field Manual,b'26184-8.txt',0,0,1944,1944,1944,
9968,Theodore Paullin,Introduction to Non-Violence,b'18493-8.txt',1,0,1944,1944 1201,,
9969,Carl Maag and Steve Rohrer,Project Trinity 1945-1946,b'548.txt',0,0,1945,1945,,
9970,The National Atomic Museum,Trinity [Atomic Test] Site,b'277.txt',0,1,1945,1945,,
9971,Clara M. Beede,Clear Crystals,b'15209-8.txt',0,0,1946,1946,,
9972,Clara M. Beede,Some Broken Twigs,b'15211-8.txt',0,0,1946,1946,,
9973,Franz Kafka,Metamorphosis,b'5200.txt',0,1,1946,,1946,
9974,Japan,"The Constitution of Japan, 1946",b'612.txt',0,0,1946,1946,,1901
9975,United States,The Atomic Bombings of Hiroshima and Nagasaki,b'685.txt',0,0,1946,1946,1947,
9976,Garrett Putnam Serviss,Edison's Conquest of Mars,b'21670-8.txt',1,0,1947,1947 1851 1929,,1908
9977,Henry Beam Piper,Time and Time Again,b'18831-8.txt',0,0,1947,1947,,1981
